sentence,gold_mwe
"vatan için , hürriyet için birbirine verdikleri şeref sözünü tutacaklar , gerekirse bu uğurda silahlarını da kullanacaklar .",şeref sözü
"beyaz eteği , lacivert ceketi ve altın şeritli kaptan kasketiyle güvertede dolaşıyor .",beyaz et
"bir millete yapılabilecek sinsi ve şeytani hücum onun vicdanından mazisini almak , hafızasında mazisini yok etmektir .",yok etmek
"gökyüzünü yıldızlar noel ağacının şıngılları gibi süslemiş , pırıldıyorlar .",noel ağacı
bir aralık rahmetli babam şiddetli bir romatizmaya tutulmuştu .,bir ara
şifasız bir dert .,bir de
"sen şimdilik büyük babanın yanında kal , babanı istediğin zaman görürsün .",büyük baba
"üç günün içinde , ders verdiği üç şubeye de ' la pipe turque ' adlı parçayı , noktasına , virgülüne hatta noktalı virgülüne kadar ezberletti .",noktalı virgül
"şuurlu bir anlayışla olmaksızın , ben de ister istemez aynı havaya kapılmıştım .",bir an
küçük bir değişiklikle bu şarkının tek mısrasında herkes kendini bulabilir .,bir de
"mozaikten tapınaklar yapar , tunçtan kaleler , fil dişinden tahtlar kurarmışsın .",fil dişi
"bir aralık elinde tahta çantalı birisi , kahvenin önündeki halka karşı bir söylev çekmeye başladı .",bir ara
yüksek ökçelerin takırtısından evin en üst katının da kımıldadığını duyardık .,üst kat
"yalnız bir tanesi , en ziyade parasına meftun olan biri onunla izdivaca talip oldu .",bir tane
"bir , iki , üç , dört , altı , on ikinin tam bölenidir .",tam bölen
"bu tampon bölgeler , ayrı bir ülke olarak dünya sulhüne katkıda bulunabilecektir .",tampon bölge
akşamları taraçada toplanan ev halkını gizli gizli tetkik ederken dedikoducu kadınları büsbütün menfur buluyordum .,ev halkı
"i̇çimde taş devrinde yaşayan dedelerimin toprağa , suya , ateşe ve kokuya , bağsız , doğrudan doğruya bağlanışlarının tohumları filizlendi gene .",taş devri
yükseköğrenim görmüş bir devlet memurunun tavanı birinci derecenin dördüncü basamağıdır .,bir de
çok defa kahvaltı tayınım olan bir dilim kuru ekmekle bir topak tulum peynirini bile tıkınmaya imkân bulamıyordum .,kuru ekmek
çok defa kahvaltı tayınım olan bir dilim kuru ekmekle bir topak tulum peynirini bile tıkınmaya imkân bulamıyordum .,tulum peyniri
"vallahi rüyasını görmüştüm , geçen gece , tenha , tehi bir yoldaymışız .",bir yol
kocamın tellallığı ile bir dükkân alım satımında tamam beş lira hakkımızı yediler .,alım satım
"apış arasına fazla tülbent ve mermerşahi tıkarak bebeği çarpık ve ayrık bacaklı , tenasüpsüz olmaktan korur .",apış arası
"futbol sahasının karşısında , sağ tarafta yüksek tel örgüyle çevrilmiş iki tenis kortu bulunuyordu .",tel örgü
hepsi de karşılıklı bir iyilik ve bir terbiyeden istifade etmekteydiler .,istifade etmek
"terlikçi i̇hsan , üst üste iki düşeş atmakla marsı sağlamış gibiydi .",düşeş atmak
tezini mitolojiden hazırlayan gözlüklü bir delikanlı .,bir de
altı kişi bir arabaya tıkıştılar .,bir ara
altı kişi bir arabaya tıkıştılar .,bir araba
"halit'in bu sövüşlerini yobazlığına , kaba sofuluğuna verdiler .",kaba sofu
i̇stanbul'un tipili bir gününde öğle yemeğine çıkmış .,öğle yemeği
"i̇ki arkadaş , yüzlerce yıllık tonozların altında eğirmenlerini çevirirlerken her günkü ahenklerine giriştiler .",her gün
can havliyle silkinip toparlanarak ve bütün bağlarından sıyrılarak birdenbire ayağa kalkıvermiş .,can havli
"o yuvarlak ve dazlak kafalı , top sakallı bir adamdı .",top sakal
beyoğlu'na çıkmadan rejisör ona bir elli kâğıt tosladı .,bir el
tozlanan ayakkabılarını parlatmak amacıyla arka cebinde koyu kırmızı kadifeden bir bez taşıdı .,koyu kır
tuğla büyüklüğünde bir delikten aydınlık giriyordu içeri .,bir de
bir yandan kollu tulumbadan ağır ağır su çekip sağda solda çelimsiz gök kuşakları yaratarak bahçeyi suluyor .,bir yanda
eski tulumbacıların bir koşuş tarzı vardı .,bir koşu
arabayı yaşlı bir çiftlik yanaşması sürüyor .,bir çift
"hayatı anlamazsan tutsak olduğunu bile bilemezsin , hakkını arayamazsın .",bile bile
"bu engin ruh , bu tükenmez azim , türk milletinin varlık sebebidir .",varlık sebebi
kahvelerin içi tüten ocakla göz gözü görmez bir hâldeydi .,göz göz
"renkleri göz alıcı , tüylü bir yol halısıyla örtülmüş olan merdivenleri ağır ağır çıkıyorum .",yol halısı
"uşaktım ulan ne olacak , dediği zaman kimse sesini çıkarmazdı .",ne o
kız kardeşinden imdat ummanın faydasızlığını görünce şu cevabı verdi .,kız kardeş
her zamanki gibi ustaca makyaj sayesinde yüzümü iyice benzetmişti .,her zaman
"öğle yemeğinden sonra sinirlerim uyuştu , ufak bir uyku kestireyim diye kompartımanımda uzandım .",öğle yemeği
"büyük bir karyola ve içinde ben uzanmışım , sen baş ucumda oturup sessiz bekliyorsun beni .",baş ucu
"sokağın dibinden gelen bir elektrik lambasının titreye titreye uzanan ışığında , bu iki gölgenin umumi şekilleri görülüyor .",bir el
bıçağı sürte sürte ipin uzunca bir parçasını kesti .,bir parça
"bir erkek , hizmetçisini sevse ondan daha iyi kimsenin çamaşır ütüleyemeyeceğine inanır .",iyi ki
üvey anası ona bir kurtarıcı gibi geldi .,üvey ana
"üzüm suyuna , arpa suyuna , arada olmak şartıyla imamsuyuna yüzüm yoktur .",arpa suyu
"üzüm suyuna , arpa suyuna , arada olmak şartıyla imamsuyuna yüzüm yoktur .",üzüm suyu
vesayet ve himaye altına giren bir devlet istiklalini yitirir .,bir de
hepimizin el birliğiyle ve samimiyetle çalışmamız vatani bir vazifedir .,el birliği
"böylece ortaya çok faydalı bir eleman , büyük bir vatansever olarak çıkıyor , bundan da derin bir zevk duyuyordu .",bir el
"kolektif bir vect , birlikte söylenilen şarkı taslağı , boğazdan gelen bu çığlıklar şiirin ilk nescini teşkil etmektedir .",teşkil etmek
. iftihar duyarak sadık ve vefakâr bir ömür sürmektedir .,ömür sürmek
"fakat ne olmuşsa olmuş , geçen gün bizim mahdum top oynarken koca alameti devirmiş .",ne o
her gün münasebetsiz birtakım vır vırlarla beni bile kocattı .,vır vır
başındaki bir basit yağ kesesini kolayca çıkardığım bir saz şairi .,yağ kesesi
bu yağlı müşterinin yanına nöbetleşe ve ikişer ikişer gönderiyordu .,yağlı müşteri
yalandan bir temizlik yapıverdiler .,bir temiz
"köyden gelmiş olanlar gidip de oda yalnızlaştıktan sonra , ikisi baş başa konuşmaya başladılar .",baş baş
ay ışığında düz yolda yürümek iyi ama dik yamaçlardan nasıl inecektik aşağıya ?,ay ışığı
"petrol arıtımında asfalt , yan ürünlerden biridir .",yan ürün
"en yapay , en saçma sorunları bile güncelleştirip kitleye mal etmekte üstüne yoktu .",üstüne yok
"en yapay , en saçma sorunları bile güncelleştirip kitleye mal etmekte üstüne yoktu .",mal etmek
bugün yardımcı kitaplardan işe başlayalım .,yardımcı kitap
pantolonları yarı bellerine kadar ıslanmıştı .,yarı bel
halit ziya'nın romanı yasak aşklar üzerine kurulu .,yasak aşk
"bütün o ağrılı , uzun gecelerimde yatak odasının kapısında dikilir , bana bakardı .",yatak odası
"bütün o ağrılı , uzun gecelerimde yatak odasının kapısında dikilir , bana bakardı .",bana bak
"gece olmuş , yatsılar okunmuş , daha damat bey gelmemişti .",daha da
"ev , bodrumu , tavan arası ve iki katıyla tam bir konak yavrusudur .",konak yavrusu
kendini yaya kaldırımına güç attı .,yaya kaldırımı
i̇ş saatinin yazın daha geç bitişi göz önüne alınarak o saatlerde daha sık vapur konulabilir .,o saat
harbiye mektebinde ilk talim gören yedek subaylar arasında idim .,yedek subay
namussuz davrananı yaşatmazlar yeraltı dünyasında .,yeraltı dünyası
yemeği yer sofrasında yiyorlar .,yer sofrası
ölü yıkayıcısı .,ölü yıkayıcı
"meltem , deniz yüzüne sanki koyu mavi bir yol kilimi uzatıyordu .",yol kilimi
"bir hafta içinde adamlarının on beşten fazla hırsızlığını , yolsuzluğunu tuttu .",hafta içi
"boş zamanlarında tahta kaşık , kepçe yontar , geçimini bunları satarak sağlardı .",boş zaman
o zaman kusuru yapıtta değil anlamayanların zekâlarının yufkalığında bulmak zorunda kalırız .,değil a
"banyosuz , duşlu , avuç içi gibi bir aralıktı hamam .",bir ara
"banyosuz , duşlu , avuç içi gibi bir aralıktı hamam .",bir aralık
bir araba yükü odun .,bir ara
"hikmet bey'in kurum ve edası , her zamankinden belki yüz kat üstündü .",her zaman
bir anda zakkumlu bir yumruk tıkandı boğazıma .,bir an
gösterip sivri uzun dişlerini bir daha / bir zehirli ok gibi attı bana kahkaha,uzun diş
şehrin zevkiselimi mevzubahis olunca bu hususta bir karar vermek hakkı belediye meclisine aittir .,belediye meclisi
şehrin zevkiselimi mevzubahis olunca bu hususta bir karar vermek hakkı belediye meclisine aittir .,karar vermek
"tefler , dümbelekler , zilli maşalar arasında komşu kızın udu çalıyor , gülsüm kanto söylüyordu .",zilli maşa
"millî mücadelenin bazı zorlu safhalarında onun âdeta , işlere seyirci kalır gibi bir kayıtsız , ilgisiz duruşu olurdu .",millî mücadele
bir zurna gibi duyulan çatlak sesiyle âlemi çekiştirir .,çatlak ses
"o asker , gittiğimiz yerde bir aralık benim bölüğüme düşmüştü .",bir ara
artık bu kadarını akıl havsala alamaz .,bu kadar
atalarımızın ar ve hayâ perdesi yırtılmak diye pek düşündürücü bir tabirleri vardır .,hayâ perdesi yırtılmak
birbirinizin yüzüne karşı canciğer olursunuz fakat sekiz on adım ayrıldığınız gibi başka birine mükemmel çekiştirirsiniz .,başka biri
"tuttuğu odayı , ayda üç bin frankla başkasına veriyor ; arada hiç olmazsa cep harçlığını çıkarıyordu .",cep harçlığı
şiirlerini bir araya toplayan bir kitap yüzünden kızıl bir damga yemiş .,bir ara
dolap beygirinin en büyük şansı gözlerinin bağlı olmasıdır ; böylece aynı çember içinde dolanıp durduğunun farkında olmaz .,dolap beygiri
"artık ok yaydan çıkmış sayılırdı , dönüşü olmayan bir yola girdikleri kesindi .",bir yol
"sabahtan akşama kadar durmadan söyleyen geveze çalıkuşu , dut yemiş bülbüle dönmüştü .",akşama kadar
"yaptığı kısacık bıçaklar bile iki kat olur kırılmazdı , çeliğe su vermek sanatının yalnız ona mahsus bir sırrı idi .",su vermek
arif gibi bir adamla çene yarışına girmek istememekle beraber susup oturamazdı .,çene yarışı
"sabahtan akşama kadar uyukluyorsun , gece olunca çenen açılıyor .",akşama kadar
şu dünyada her birimiz alnımızın teriyle ekmeğimizi çıkarmak zorundayız .,her biri
müsteşardan kapıcıya kadar bütün nezaret mensupları elden geldiği kadar gayret ettiler .,elden gel
"i̇nsana güzel gibi gelen , foyasını ancak gözle görülür şeklin içinde belli eden bir âlemdedirler .",bir âlem
"dava insanın , ben daha çok işe yararım kanaatine varması ve bunu fiile koyabilmesidir .",işe yarar
kafası kızınca aklına geleni yapmaktan geri durmuyordu .,aklına geleni yapmak
günlerden beri artan iştahsızlık ve derin yorgunluk fena günlerin yaklaştığını haber vermiş olabilirdi .,haber ver
çocuklara yemiş getirenin haddi hesabı yok .,hesabı yok
atalarımızın ar ve hayâ perdesi yırtılmak diye pek düşündürücü bir tabirleri vardır .,hayâ perdesi yırtılmak
"bu sıcak ve içten ses fikret'i hayata bağlıyor , yaşama sevincini artırıyordu .",yaşama sevinci
bir hesabı daha kapatmış olmanın gönül rahatlığıyla ıslık çalarak indim merdivenlerden .,gönül rahatlığı
hele sokakta yüksek sesle gülenler olursa kendisiyle eğleniyorlar sanarak hiddetten kuduruyordu .,yüksek ses
bir an önce varalım diye içim içimi yiyor .,bir an
yanımızdan bir ayak evvel kaçmak için içinden yanıyor .,için için
"bizim gibi dış âlemle münasebetleri aksamış , kendi içine çekilip kendi yağıyla kavrulmak zorunda kalmıştı .",dış âlem
gecikme korkusuyla herkes itişip kakışmakta ise kimsenin aklına gelmez konuşmak .,itişip kakışmak
"sen sabahtan akşama kadar rahat rahat oturuyorsun , ben kafa patlatıyorum .",akşama kadar
kafalarının kontağı bir kere atınca eski rayına oturtmakta güçlük çekerler .,rayına oturtmak
kanıma gireceksiniz ama ne yapalım siz sağ olun .,sağ ol
bereket versin ki padişahın cellatları kapıya dayanmadılar .,bereket versin
"nihayet bir defa , gene dereden köye doğru giderken karşı karşıya gelmeyeyim mi ?",gene de
"nihayet bir defa , gene dereden köye doğru giderken karşı karşıya gelmeyeyim mi ?",bir de
"kuzum , kaşla göz arasında ne zaman geldin ve ne zaman kaybettin paranı ?",kaşla göz arası
"mazeretin ne olursa olsun , i̇ncir han'ından kendi ayağınla çıktıktan sonra artık kem küm etmemek , dilenciliği meslek olarak kabul etmek lazımdır .",ne o
"mazeretin ne olursa olsun , i̇ncir han'ından kendi ayağınla çıktıktan sonra artık kem küm etmemek , dilenciliği meslek olarak kabul etmek lazımdır .",ne olur
üzerine soğuk su dökülen sarhoş adam kendine geldiğinde sade kahve ona zorla içirildi .,kendine gel
yabancı memurların karşısında bir çocuk gibi yaramazlık etmekten kendimi alamıyordum .,yaramazlık etmek
çoğunlukla üniversite diploması alabilmek uğruna kendini paralayan bir gençlikle karşı karşıyayız .,karşı karşıya
ama bu sefer ziyaretlerini her zamankinden kısa tutmuşlardı nedense .,her zaman
ne oluyorum demeye vakit bulamadan her tarafını laçka eden bir kesiklik duydu .,ne o
ne oluyorum demeye vakit bulamadan her tarafını laçka eden bir kesiklik duydu .,ne oluyor
aralarından bir tanesi ille de laf anlatacağım diye çene patlatıp duruyormuş .,bir tane
"belki tramvayda , vapurda yan yana giderken , o ona için için gülmüştür , belki de alay etmiştir .",yan yan
"çünkü ömer bey , başka birinde son derece nefret uyandıran bir kabalık , bir kusur sayılması lazım gelen o gurur ve azamet buhranları içinde bile bir çocuk saflığını saklıyordu .",başka biri
"eğer gözünü açmaz , bu kör dövüşüne bir nihayet vermezsen muhakkak okkanın altına gidersin .",kör dövüşü
torununu gizlice tavan arasında saklamakta olduğunu öğrendiğinde öfkeden deliye dönmüştü .,tavan arası
kocasını ardı arkası gelmeksizin kandırdığı yetişmiyormuş gibi bazen genç kızları da şuna buna peşkeş çekermiş .,arkası gelmek
"dünyada en birinci zevk ruzname tutmaktır , derdi .",ruzname tutmak
"en iyisi , çantayı da tabancayı da atıp tabanları yağlamaktı .",tabanları yağlamak
bizden hiç kimseye zarar gelmez .,hiç kimse
"açık yüreklilikle söyleyin bana , şefinizin başka biri olmasını yeğlerdiniz , değil mi ?",açık yürekli
"açık yüreklilikle söyleyin bana , şefinizin başka biri olmasını yeğlerdiniz , değil mi ?",açık yüreklilik
